107/03/01,1312,12565,9.70,9.70,9.70,9.70,+0.10,18,
107/03/02,6017,58953,9.80,9.80,9.80,9.80,+0.10,21,
107/03/05,54,503,--,--,--,--,0.00,37,
107/03/06,8566,88110,10.35,10.35,10.35,10.35,X0.00,28,
107/03/07,550,5444,--,--,--,--,0.00,15,
107/03/08,5306,51999,9.56,9.90,9.56,9.90,X0.00,17,
107/03/09,12875,122285,9.28,9.93,9.28,9.87,-0.03,19,
107/03/12,8272,79041,9.50,9.80,9.50,9.61,-0.26,101,
107/03/13,4774,46622,9.82,9.82,9.79,9.79,+0.18,128,
107/03/14,4381,43069,9.87,9.87,9.87,9.87,+0.08,112,
107/03/15,6550,62375,9.42,9.60,9.42,9.60,-0.27,44,
107/03/16,178,1689,--,--,--,--,0.00,21,
107/03/19,5053,48843,9.56,9.88,9.56,9.68,X0.00,49,
107/03/20,3184,30245,9.50,9.52,9.50,9.52,-0.16,53,
107/03/21,7032,66238,9.55,9.55,9.40,9.40,-0.12,36,
107/03/22,5088,47912,9.50,9.50,9.40,9.40,0.00,24,
107/03/23,1775,16506,9.42,9.42,9.42,9.42,+0.02,36,
107/03/26,19022,168964,9.36,9.48,8.62,8.62,-0.80,59,
107/03/27,2096,18252,8.74,8.74,8.74,8.74,+0.12,93,
107/03/28,2155,18357,8.53,8.53,8.53,8.53,-0.21,61,
107/03/29,22,176,--,--,--,--,0.00,19,
107/03/30,64,518,--,--,--,--,0.00,38,
107/03/31,21,168,--,--,--,--,0.00,18,
107/02/01,1033,9117,8.85,8.85,8.85,8.85,X0.00,31,
107/02/02,32,266,--,--,--,--,0.00,21,
107/02/05,270,2348,--,--,--,--,0.00,36,
107/02/06,1607,13276,8.30,8.30,8.30,8.30,X0.00,68,
107/02/07,44,353,--,--,--,--,0.00,40,
107/02/08,1023,9119,8.93,8.93,8.93,8.93,X0.00,19,
107/02/09,1053,9616,9.18,9.18,9.18,9.18,+0.25,38,
107/02/12,38,342,--,--,--,--,0.00,38,
107/02/21,5399,47262,8.51,9.13,8.51,9.13,X0.00,37,
107/02/22,1019,9155,9.00,9.00,9.00,9.00,-0.13,17,
107/02/23,6274,56466,9.00,9.00,9.00,9.00,0.00,28,
107/02/26,80,720,--,--,--,--,0.00,80,
107/02/27,2514,24049,9.60,9.60,9.60,9.60,X0.00,18,
107/01/02,96,719,--,--,--,--,0.00,4,
107/01/03,3377,25686,7.75,7.75,7.75,7.75,X0.00,9,
107/01/04,5633,44863,7.80,8.12,7.80,8.12,+0.37,11,
107/01/05,14500,116148,8.10,8.10,8.00,8.00,-0.12,11,
107/01/08,3644,28406,8.00,8.00,8.00,8.00,0.00,13,
107/01/09,6910,55692,8.09,8.10,8.09,8.10,+0.10,12,
107/01/10,9647,74789,8.10,8.10,7.51,7.51,-0.59,17,
107/01/11,17,122,--,--,--,--,0.00,3,
107/01/12,4256,33396,7.85,7.85,7.85,7.85,X0.00,10,
107/01/15,11,77,--,--,--,--,0.00,11,
107/01/16,12582,90380,7.18,7.18,7.18,7.18,X0.00,21,
107/01/17,20239,155389,7.50,7.89,7.48,7.89,+0.71,58,
107/01/18,25786,211492,7.90,8.36,7.90,8.33,+0.44,66,
107/01/19,10127,84029,8.30,8.30,8.30,8.30,-0.03,13,
107/01/22,9761,79694,8.10,8.20,8.10,8.20,-0.10,20,
107/01/23,5924,49876,8.28,8.72,8.28,8.72,+0.52,23,
107/01/24,2989,25045,8.35,8.35,8.35,8.35,-0.37,30,
107/01/25,11452,102235,8.50,8.99,8.50,8.98,+0.63,32,
107/01/26,1095,9623,8.81,8.81,8.81,8.81,-0.17,8,
107/01/29,12091,100109,8.26,8.28,8.26,8.28,-0.53,25,
107/01/30,9784,86093,8.88,8.88,8.80,8.87,+0.59,56,
107/01/31,1299,11135,--,--,--,--,0.00,19,
106/12/01,33682,279684,8.38,8.38,8.21,8.21,-0.87,33,
106/12/04,23057,176757,7.63,7.85,7.63,7.85,-0.36,53,
106/12/05,40988,327131,7.84,8.00,7.84,8.00,+0.15,30,
106/12/06,8551,64524,7.54,7.96,7.54,7.58,-0.42,14,
106/12/07,18896,145156,7.58,7.72,7.58,7.72,+0.14,18,
106/12/08,7835,60162,7.70,7.70,7.70,7.70,-0.02,5,
106/12/11,8200,63138,7.70,7.70,7.70,7.70,0.00,7,
106/12/12,11982,88372,7.70,7.78,7.33,7.33,-0.37,11,
106/12/13,11479,84277,7.35,7.40,7.35,7.40,+0.07,15,
106/12/14,16998,134253,7.51,8.05,7.51,8.05,+0.65,19,
106/12/15,45674,371384,8.04,8.21,8.00,8.00,-0.05,23,
106/12/18,63648,508362,8.00,8.06,7.90,8.06,+0.06,47,
106/12/19,220,1815,--,--,--,--,0.00,3,
106/12/20,684,5217,--,--,--,--,0.00,28,
106/12/21,3926,30811,7.85,7.85,7.85,7.85,X0.00,13,
106/12/22,6,51,--,--,--,--,0.00,2,
106/12/25,49,374,--,--,--,--,0.00,13,
106/12/26,32412,248613,7.07,8.00,7.07,8.00,X0.00,48,
106/12/27,3107,24823,8.00,8.00,8.00,8.00,0.00,17,
106/12/28,157,1217,--,--,--,--,0.00,24,
106/12/29,4165,33049,7.95,7.95,7.95,7.95,X0.00,25,
106/11/01,14016,59781,4.30,4.30,4.20,4.20,-0.10,12,
106/11/02,91500,374794,4.01,4.39,4.01,4.39,+0.19,19,
106/11/03,35307,143704,4.06,4.08,4.06,4.08,-0.31,21,
106/11/06,23042,91366,3.81,4.00,3.81,4.00,-0.08,52,
106/11/07,10206,43829,4.30,4.30,4.30,4.30,+0.30,27,
106/11/08,25520,103729,4.03,4.08,4.03,4.08,-0.22,28,
106/11/09,25446,102818,3.77,4.07,3.77,4.07,-0.01,11,
106/11/10,44562,185224,4.13,4.23,4.13,4.23,+0.16,14,
106/11/13,30502,122391,4.25,4.25,3.93,4.00,-0.23,25,
106/11/14,45846,200398,4.40,4.40,4.28,4.40,+0.40,32,
106/11/15,82520,346138,3.96,4.60,3.96,4.60,+0.20,54,
106/11/27,1008,11791,--,--,--,--,0.00,6,
106/11/28,19649,218102,11.10,11.10,11.10,11.10,X0.00,19,
106/11/29,31961,320775,10.20,10.20,9.99,9.99,-1.11,38,
106/11/30,17364,159076,9.26,9.26,9.08,9.08,-0.91,17,
106/10/02,547,2466,--,--,--,--,0.00,2,
