107/03/01,0,0,--,--,--,--,0.00,0,
107/03/02,0,0,--,--,--,--,0.00,0,
107/03/05,0,0,--,--,--,--,0.00,0,
107/03/06,6000,103850,17.20,17.40,17.20,17.40,X0.00,6,
107/03/07,29000,509050,17.60,17.60,17.10,17.20,-0.20,5,
107/03/08,1000,17250,17.25,17.25,17.25,17.25,+0.05,1,
107/03/09,5000,86600,17.35,17.35,17.30,17.30,+0.05,4,
107/03/12,2000,34550,17.25,17.30,17.25,17.30,0.00,2,
107/03/13,11000,199650,17.35,18.30,17.35,18.20,+0.90,11,
107/03/14,0,0,--,--,--,--,0.00,0,
107/03/15,0,0,--,--,--,--,0.00,0,
107/03/16,0,0,--,--,--,--,0.00,0,
107/03/19,0,0,--,--,--,--,0.00,0,
107/03/20,1466,26055,17.90,17.90,17.90,17.90,X0.00,2,
107/03/21,6019,107932,17.95,18.05,17.90,18.05,+0.15,7,
107/03/22,0,0,--,--,--,--,0.00,0,
107/03/23,0,0,--,--,--,--,0.00,0,
107/03/26,0,0,--,--,--,--,0.00,0,
107/03/27,2002,36636,18.30,18.30,18.30,18.30,X0.00,3,
107/03/28,0,0,--,--,--,--,0.00,0,
107/03/29,0,0,--,--,--,--,0.00,0,
107/03/30,0,0,--,--,--,--,0.00,0,
107/03/31,2032,36978,18.20,18.20,18.20,18.20,X0.00,4,
107/02/01,4000,68950,17.05,17.30,17.05,17.30,+0.30,4,
107/02/02,2000,35000,17.50,17.50,17.50,17.50,+0.20,1,
107/02/05,0,0,--,--,--,--,0.00,0,
107/02/06,12000,204850,16.90,17.60,16.40,17.60,X0.00,10,
107/02/07,11000,193150,17.55,17.90,17.10,17.10,-0.50,10,
107/02/08,0,0,--,--,--,--,0.00,0,
107/02/09,0,0,--,--,--,--,0.00,0,
107/02/12,4000,68400,17.10,17.10,17.10,17.10,X0.00,1,
107/02/21,15000,262500,17.50,17.50,17.50,17.50,+0.40,1,
107/02/22,12000,213600,17.80,17.80,17.80,17.80,+0.30,3,
107/02/23,2000,35200,17.60,17.60,17.60,17.60,-0.20,2,
107/02/26,2000,36000,18.00,18.00,18.00,18.00,+0.40,1,
107/02/27,1000,18000,18.00,18.00,18.00,18.00,0.00,1,
107/01/02,5000,90600,18.00,18.35,18.00,18.35,+0.60,3,
107/01/03,2143,39245,18.35,18.35,18.35,18.35,0.00,2,
107/01/04,0,0,--,--,--,--,0.00,0,
107/01/05,1000,18500,18.50,18.50,18.50,18.50,X0.00,1,
107/01/08,0,0,--,--,--,--,0.00,0,
107/01/09,8000,144350,17.95,18.50,17.90,18.50,X0.00,8,
107/01/10,17000,303000,18.50,18.50,17.60,18.00,-0.50,15,
107/01/11,116000,2070650,18.30,18.30,17.60,17.85,-0.15,6,
107/01/12,25125,429106,18.25,18.25,16.60,17.30,-0.55,24,
107/01/15,4007,69516,17.40,17.40,17.25,17.35,+0.05,7,
107/01/16,6000,104350,17.35,17.45,17.35,17.40,+0.05,6,
107/01/17,18002,307982,17.40,17.40,16.85,17.35,-0.05,20,
107/01/18,15000,254000,17.00,17.00,16.85,17.00,-0.35,14,
107/01/19,108001,1830566,16.95,17.15,16.90,16.90,-0.10,7,
107/01/22,7181,119464,16.90,16.90,16.60,16.60,-0.30,9,
107/01/23,11000,182850,16.70,16.90,16.40,16.65,+0.05,11,
107/01/24,1100,18320,16.70,16.70,16.70,16.70,+0.05,2,
107/01/25,2000,33350,16.70,16.70,16.65,16.65,-0.05,2,
107/01/26,0,0,--,--,--,--,0.00,0,
107/01/29,1023,16970,16.60,16.60,16.60,16.60,X0.00,4,
107/01/30,2000,33500,16.65,16.85,16.65,16.85,+0.25,2,
107/01/31,8000,135700,16.85,17.00,16.85,17.00,+0.15,8,
106/12/01,1100,20730,18.90,18.90,18.90,18.90,+0.20,2,
106/12/04,3000,56650,18.85,18.90,18.85,18.90,0.00,3,
106/12/05,3000,55600,18.95,18.95,18.30,18.30,-0.60,3,
106/12/06,155000,2790450,18.00,18.50,17.95,17.95,-0.35,3,
106/12/07,0,0,--,--,--,--,0.00,0,
106/12/08,24000,434400,18.10,18.10,18.10,18.10,X0.00,1,
106/12/11,3000,56250,18.60,18.85,18.60,18.85,+0.75,3,
106/12/12,0,0,--,--,--,--,0.00,0,
106/12/13,0,0,--,--,--,--,0.00,0,
106/12/14,15000,277950,18.50,18.95,18.50,18.95,X0.00,3,
106/12/15,144000,2728750,18.95,18.95,18.90,18.90,-0.05,2,
106/12/18,6000,111300,18.90,18.90,18.25,18.75,-0.15,6,
106/12/19,0,0,--,--,--,--,0.00,0,
106/12/20,0,0,--,--,--,--,0.00,0,
106/12/21,13000,244400,18.80,18.80,18.80,18.80,X0.00,2,
106/12/22,0,0,--,--,--,--,0.00,0,
106/12/25,11000,203200,18.90,19.20,17.90,18.40,X0.00,11,
106/12/26,0,0,--,--,--,--,0.00,0,
106/12/27,9000,167000,18.50,19.00,18.50,19.00,X0.00,2,
106/12/28,3000,54350,18.10,18.15,18.10,18.10,-0.90,3,
106/12/29,8374,150644,18.45,18.45,17.75,17.75,-0.35,9,
106/11/01,1000,18250,18.25,18.25,18.25,18.25,+0.10,1,
106/11/02,0,0,--,--,--,--,0.00,0,
106/11/03,0,0,--,--,--,--,0.00,0,
106/11/06,5000,91000,18.20,18.20,18.20,18.20,X0.00,1,
106/11/07,0,0,--,--,--,--,0.00,0,
106/11/08,6000,109200,18.20,18.20,18.20,18.20,X0.00,1,
106/11/09,0,0,--,--,--,--,0.00,0,
106/11/10,4002,72884,18.20,18.25,18.20,18.20,X0.00,5,
106/11/13,0,0,--,--,--,--,0.00,0,
106/11/14,4000,72800,18.50,18.50,18.10,18.10,X0.00,2,
106/11/15,2000,36950,18.35,18.60,18.35,18.60,+0.50,2,
106/11/16,0,0,--,--,--,--,0.00,0,
